Tenure,SatisfactionScore,Complain,OrderCount,HourSpendOnApp,NumberOfDeviceRegistered,NumberOfAddress,DaySinceLastOrder,Cashback,Churned
52,4,0,5,5.9,2,1,55,11.93,0
15,3,0,4,8.8,1,1,54,23.83,0
72,3,0,6,11.8,1,1,34,23.88,0
61,4,1,3,5.6,4,1,40,14.75,1
21,4,0,5,14.1,1,1,67,16.69,0
24,4,1,5,6.2,1,1,53,17.98,1
3,4,0,2,0.5,1,1,46,0.0,1
22,2,0,6,9.7,5,2,42,7.01,0
53,4,0,4,12.3,1,2,47,18.37,0
2,4,0,5,8.9,1,1,25,23.22,0
30,4,0,7,8.8,1,1,60,10.97,0
38,3,0,9,7.3,2,1,37,18.12,0
2,3,0,4,6.5,2,1,50,9.18,0
64,4,0,5,5.6,2,1,58,11.31,0
60,5,0,3,8.1,3,1,73,15.02,0
21,4,0,2,7.6,2,1,59,13.72,0
33,5,0,5,6.2,4,1,34,12.4,0
58,4,0,8,10.4,2,1,40,14.9,0
22,3,0,4,12.5,1,2,51,6.62,0
49,5,0,8,10.1,1,1,17,21.23,0
59,4,0,6,8.4,2,1,55,25.94,0
42,3,0,4,8.8,1,1,62,12.83,0
60,5,0,3,3.2,2,1,55,23.14,0
15,4,0,5,11.8,3,2,37,19.96,0
62,5,0,5,7.8,1,1,53,14.37,0
62,5,1,10,9.5,3,1,55,28.18,0
47,5,0,5,10.6,2,2,47,14.88,0
62,5,0,6,8.3,1,2,60,14.03,0
51,4,0,6,7.2,2,1,54,16.46,0
55,5,1,3,7.6,2,1,26,17.46,0
64,5,0,4,11.4,3,1,44,12.62,0
3,3,0,2,5.4,2,1,64,7.31,1
51,4,0,7,7.7,3,1,48,17.05,0
7,2,1,5,2.3,2,1,64,19.76,1
21,4,0,4,3.8,2,1,56,13.1,0
39,5,0,5,7.6,1,1,60,15.9,0
18,4,0,3,3.5,1,1,49,10.52,0
4,3,1,4,6.1,2,2,57,14.14,0
60,4,0,4,14.0,2,1,37,14.44,0
14,4,0,2,10.3,5,1,69,14.81,0
9,2,0,1,3.3,2,1,62,3.08,0
53,4,0,8,11.8,2,3,26,30.87,0
2,4,1,1,2.6,1,1,55,4.38,0
60,3,1,8,16.1,2,1,82,21.11,0
71,5,1,4,8.4,3,3,49,17.85,1
44,3,1,10,16.2,1,1,35,24.4,0
8,3,0,3,5.0,1,2,43,10.57,0
47,4,0,11,18.6,2,1,22,23.6,0
35,5,0,4,6.9,1,1,37,18.86,0
36,4,0,4,2.9,2,1,82,14.8,0
50,5,1,4,7.7,2,2,57,15.64,1
4,4,0,1,3.7,1,1,37,0.0,0
2,2,0,0,8.0,1,1,60,5.83,0
6,4,1,3,5.5,3,3,69,15.13,1
54,4,0,9,13.8,1,1,48,10.21,0
4,3,1,1,3.8,1,1,37,9.7,0
54,4,0,6,7.3,1,1,58,16.85,0
63,5,0,8,11.4,1,1,44,15.19,0
18,5,0,7,12.2,2,2,49,16.67,0
44,4,0,5,4.3,2,2,78,9.82,0
34,5,0,4,11.0,1,1,52,11.25,0
62,5,0,5,11.8,2,1,39,20.18,0
14,5,1,1,4.9,1,2,32,12.44,1
48,5,0,6,9.2,2,1,38,22.39,0
15,4,0,3,0.5,2,1,43,10.72,0
72,5,0,5,14.4,1,1,21,30.64,0
62,5,1,3,6.4,1,2,64,1.22,1
40,5,0,6,13.1,3,1,56,14.46,0
53,4,0,1,4.0,2,2,58,9.27,0
24,3,0,6,9.8,3,1,33,13.15,0
